Id,Location,Managed_by,Acreage,sqft,geometry
0,Buford Middle School,City Schoolyard Garden,0,NA,"c(11483465.2158076, 3897189.35720384)"
0,Burnley-Moran Elementary School,City Schoolyard Garden,0,NA,"c(11493893.1671965, 3900674.16623161)"
0,Charlottesville High School,City Schoolyard Garden,0,NA,"c(11489854.3607729, 3906445.18185662)"
0,City of Promise,City Schoolyard Garden,0,NA,"c(11485858.471016, 3899907.36067608)"
0,Clark Elementary School,City Schoolyard Garden,0,NA,"c(11490407.5016873, 3895764.42086127)"
0,Greenbrier Elementary School,City Schoolyard Garden,0,NA,"c(11491505.1217683, 3910601.85575709)"
0,Jackson Via Elementary School,City Schoolyard Garden,0,NA,"c(11481491.3862053, 3892719.59386688)"
0,Johnson Elementary School,City Schoolyard Garden,0,NA,"c(11481393.1874206, 3895595.02789466)"
0,Venable Elementary School,City Schoolyard Garden,0,NA,"c(11484114.7007307, 3901558.88784837)"
0,6th St and Monticello,Urban Agriculture Collective,4400,NA,"c(11488334.5358002, 3896837.31666781)"
